127.0.0.1 - - [11/Dec/2015:17:12:56 +0800] "GET /gii/extension HTTP/1.1" 200 13347
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/8bb60d5/css/bootstrap.css HTTP/1.1" 200 147430
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/3f8ec639/main.css HTTP/1.1" 200 4548
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/d5cab628/toolbar.css HTTP/1.1" 200 6216
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/3f8ec639/logo.png HTTP/1.1" 200 6677
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/27eb7c0/jquery.js HTTP/1.1" 200 247597
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/fc1cb3d0/yii.js HTTP/1.1" 200 13161
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/fc1cb3d0/yii.validation.js HTTP/1.1" 200 13062
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/fc1cb3d0/yii.activeForm.js HTTP/1.1" 200 28971
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/8bb60d5/js/bootstrap.js HTTP/1.1" 200 68890
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/c86b5152/typeahead.bundle.js HTTP/1.1" 200 71417
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/3f8ec639/gii.js HTTP/1.1" 200 9968
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/d5cab628/toolbar.js HTTP/1.1" 200 1665
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /assets/8bb60d5/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /favicon.ico HTTP/1.1" 200 318
127.0.0.1 - - [11/Dec/2015:17:13:03 +0800] "GET /debug/default/toolbar?tag=566a9398e299b HTTP/1.1" 200 19392
127.0.0.1 - - [11/Dec/2015:17:13:06 +0800] "GET /gii/model HTTP/1.1" 200 18217
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/8bb60d5/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/3f8ec639/main.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/8bb60d5/js/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/c86b5152/typeahead.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/3f8ec639/gii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/d5cab628/toolbar.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/fc1cb3d0/yii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/27eb7c0/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/d5cab628/toolbar.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/fc1cb3d0/yii.activeForm.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/fc1cb3d0/yii.validation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:25 +0800] "GET /assets/3f8ec639/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:13:26 +0800] "GET /debug/default/toolbar?tag=566a93a286f02 HTTP/1.1" 200 19646
127.0.0.1 - - [11/Dec/2015:17:35:32 +0800] "POST /gii/model HTTP/1.1" 200 39523
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/3f8ec639/main.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/d5cab628/toolbar.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/8bb60d5/css/bootstrap.css HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/27eb7c0/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/fc1cb3d0/yii.activeForm.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/fc1cb3d0/yii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/fc1cb3d0/yii.validation.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/8bb60d5/js/bootstrap.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/3f8ec639/gii.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/c86b5152/typeahead.bundle.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/d5cab628/toolbar.js HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /assets/3f8ec639/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /favicon.ico HTTP/1.1" 304 -
127.0.0.1 - - [11/Dec/2015:17:35:40 +0800] "GET /debug/default/toolbar?tag=566a98e7a1586 HTTP/1.1" 200 19650
127.0.0.1 - - [11/Dec/2015:17:35:47 +0800] "POST /gii/model HTTP/1.1" 200 20036
127.0.0.1 - - [11/Dec/2015:17:35:47 +0800] "GET /debug/default/toolbar?tag=566a98f360146 HTTP/1.1" 200 19644
127.0.0.1 - - [11/Dec/2015:17:37:16 +0800] "POST /gii/model HTTP/1.1" 200 34770
127.0.0.1 - - [11/Dec/2015:17:37:17 +0800] "GET /debug/default/toolbar?tag=566a994cf3923 HTTP/1.1" 200 19644
127.0.0.1 - - [11/Dec/2015:17:37:20 +0800] "POST /gii/default/preview?id=model&file=dc02488113b306dd800378eeb452dfdc HTTP/1.1" 200 19398
